City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Saint George,US,37.1041,-113.5841,79.63,69,1,5.99,clear sky
143,Provideniya,RU,64.3833,-173.3,48.94,95,100,2.35,overcast clouds
144,Tomatlan,MX,19.9333,-105.25,76.59,95,96,3.11,overcast clouds
145,Mao,ES,39.8885,4.2658,81.16,61,0,16.11,clear sky
146,Sinnamary,GF,5.3833,-52.95,75.94,89,24,4.9,few clouds
147,Ulaangom,MN,49.9811,92.0667,77.59,42,87,7.99,overcast clouds
148,Vredendal,ZA,-31.6683,18.5012,72.57,21,87,25.55,overcast clouds
149,Mana,GF,5.6592,-53.7767,75.06,92,26,4.43,scattered clouds
150,Lavrentiya,RU,65.5833,-171.0,43.66,97,100,5.7,overcast clouds
151,Bluff,NZ,-46.6,168.3333,48.79,89,100,15.39,overcast clouds
152,Lebu,CL,-37.6167,-73.65,43.18,78,5,13.31,clear sky
153,Killybegs,IE,54.6333,-8.45,60.51,86,100,4.59,overcast clouds
154,Shimoda,JP,34.6667,138.95,79.11,76,100,2.66,moderate rain
155,Christchurch,NZ,-43.5333,172.6333,51.01,83,73,1.99,broken clouds
156,Hermanus,ZA,-34.4187,19.2345,62.67,56,100,5.23,overcast clouds
157,Nampula,MZ,-15.1165,39.2666,69.75,64,75,16.11,broken clouds
158,Sao Felix Do Xingu,BR,-6.6447,-51.995,66.25,63,77,1.95,broken clouds
159,Imbituba,BR,-28.24,-48.6703,64.29,77,29,7.23,moderate rain
160,Tessalit,ML,20.1986,1.0114,93.07,32,86,12.1,overcast clouds
161,Najran,SA,17.4924,44.1277,97.45,24,79,12.21,broken clouds
162,Iqaluit,CA,63.7506,-68.5145,42.53,100,90,8.01,fog
163,Torbay,CA,47.6666,-52.7314,55.76,98,90,3.44,light intensity drizzle
164,Necochea,AR,-38.5473,-58.7368,46.15,78,2,14.36,clear sky
165,Mombetsu,JP,44.3525,143.3525,73.24,76,0,3.83,clear sky
166,Vila Velha,BR,-20.3297,-40.2925,58.95,94,0,2.3,clear sky
167,Bambous Virieux,MU,-20.3428,57.7575,77.22,69,75,13.8,light rain
168,Ndioum,SN,16.5129,-14.6471,82.38,60,50,14.97,scattered clouds
169,Lata,PT,40.1629,-8.3327,71.04,68,29,4.27,scattered clouds
170,Faanui,PF,-16.4833,-151.75,78.37,74,37,11.56,scattered clouds
171,Asau,RO,46.4333,26.4,82.96,41,6,5.01,clear sky
172,Beringovskiy,RU,63.05,179.3167,50.79,93,100,5.88,overcast clouds
173,Tigil,RU,57.8,158.6667,66.33,93,100,16.02,light rain
174,San Quintin,MX,30.4833,-115.95,66.33,89,99,4.7,overcast clouds
175,Morondava,MG,-20.2833,44.2833,74.43,46,89,7.05,overcast clouds
176,Hobyo,SO,5.3505,48.5268,83.91,58,16,27.49,few clouds
177,Tasiilaq,GL,65.6145,-37.6368,44.76,81,0,0.83,clear sky
178,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,70.61,99,100,1.88,overcast clouds
179,Ponta Do Sol,PT,32.6667,-17.1,79.0,76,1,0.83,clear sky
180,Mattru,SL,7.6244,-11.8332,75.65,90,91,3.56,light rain
