City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
147,Ulaangom,MN,77.59,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
149,Mana,GF,75.06,scattered clouds,5.6592,-53.7767,LE SAMANA
154,Shimoda,JP,79.11,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
167,Bambous Virieux,MU,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
168,Ndioum,SN,82.38,scattered clouds,16.5129,-14.6471,l'hôtel samassa
170,Faanui,PF,78.37,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
171,Asau,RO,82.96,clear sky,46.4333,26.4,Casa Mika Ciobanus
176,Hobyo,SO,83.91,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
179,Ponta Do Sol,PT,79.0,clear sky,32.6667,-17.1,Hotel do Campo
180,Mattru,SL,75.65,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
186,Vrangel,RU,79.21,broken clouds,42.7297,133.0839,"Отель ""БАЛИ"""
187,Hovd,MN,76.32,overcast clouds,48.0056,91.6419,Hotel Khovd
189,Tura,IN,83.61,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
193,Suifenhe,CN,84.81,overcast clouds,44.4,131.1667,Holiday Inn Suifenhe
194,Kijang,KR,89.33,clear sky,35.2442,129.2139,Samyang Beach Villa
195,Avera,US,75.07,few clouds,33.194,-82.5271,
198,Oussouye,SN,80.82,scattered clouds,12.485,-16.5469,Auberge du Routard
201,Namibe,AO,81.52,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
202,Hirschaid,DE,77.88,broken clouds,49.8194,10.9908,CENTER HOTEL DRIVE INN
203,Kyren,RU,78.76,scattered clouds,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
205,Meulaboh,ID,85.3,overcast clouds,4.1363,96.1285,Kost Pria
208,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
213,Namatanai,PG,78.8,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
214,Kamaishi,JP,81.55,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
216,Chengde,CN,80.53,overcast clouds,40.9725,117.9361,Super 8 Hotel
218,Lake Havasu City,US,84.81,clear sky,34.4839,-114.3224,Heat Hotel
225,Pemangkat,ID,84.79,clear sky,1.1667,108.9667,Ramah Kost KITA
228,Kursumlija,RS,86.05,scattered clouds,43.1458,21.2686,The old willow
232,Gorontalo,ID,82.29,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
233,Chuzhou,CN,77.59,moderate rain,32.3219,118.2978,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
234,Tateyama,JP,84.02,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
235,Kahului,US,78.06,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
237,Ettlingen,DE,78.26,few clouds,48.9409,8.4076,Hotel Erbprinz Ettlingen
239,Guadalupe,MX,76.21,clear sky,25.6833,-100.25,Fiesta Inn Monterrey Fundidora
241,Caceres,ES,75.79,clear sky,39.522,-6.3748,Ahc Hoteles
243,Chabahar,IR,87.76,clear sky,25.2919,60.643,هتل گدروشیا
244,Gamba,GA,75.63,broken clouds,-2.65,10.0,
245,Souillac,MU,77.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
254,Dhidhdhoo,MV,82.35,overcast clouds,6.8833,73.1,Dhidhoo beach
255,Saint-Joseph,RE,75.58,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
256,Filingue,NE,86.54,overcast clouds,14.3521,3.3168,
259,Xichang,CN,83.5,scattered clouds,27.8964,102.2634,Xichang ibis Hotel
262,Port Blair,IN,83.52,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
265,Karla,EE,82.15,clear sky,59.3723,24.9275,River Villa
267,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
268,Ishigaki,JP,86.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
270,Saint-Philippe,RE,76.59,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
